
****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 344866 ******* 

Variable    Labels

ER72001    RELEASE NUMBER                          
ER72002    2019 FAMILY INTERVIEW (ID) NUMBER       
ER72004    CURRENT STATE                           
ER72006    MODE OF INTERVIEW                       
ER72016    # IN FU                                 
ER72017    AGE OF REFERENCE PERSON                 
ER72018    SEX OF REFERENCE PERSON                 
ER72019    AGE OF SPOUSE                           
ER72020    SEX OF SPOUSE                           
ER72021    # CHILDREN IN FU                        
ER72025    A3 LIFE SATISFACTION                    
ER72195    BC20 MAIN OCC FOR JOB 1: 2010 CODE (RP) 
ER72196    BC21 MAIN IND FOR JOB 1: 2012 CODE (RP) 
ER76922    L53 HGHST YR COLL COMPLETED-RP          
ER77291    TOTAL BUSINESS INCOME-2018              
ER77293    NUMBER OF BUSINESSES OWNED BY FU IN 2018
ER77294    FARM INCOME OF REF PERSN AND SPOUSE-2018
ER77296    RP LABOR INCOME FROM BUSINESS-2018      
ER77297    RP ASSET INCOME FROM BUSINESS-2018      
ER77298    NUMBER OF BUSINESSES OWNED BY REF PERSON
ER77299    WAGES AND SALARIES OF REF PERSON-2018   
ER77301    BONUS INCOME OF REF PERSON-2018         
ER77303    OVERTIME INCOME OF REF PERSON-2018      
ER77305    TIPS OF REF PERSON-2018                 
ER77307    COMMISSION INCOME OF REF PERSON-2018    
ER77309    PROFESSIONAL PRACTICE OF REF PERSON-2018
ER77311    REF PERSON ADDITIONAL JOB INCOME-2018   
ER77313    MISC LABOR INCOME OF REF PERSON-2018    
ER77315    LABOR INCOME OF REF PERSON-2018         
ER77316    REF PERSON RENT INCOME-2018             
ER77318    REF PERSON DIVIDENDS-2018               
ER77320    REF PERSON INTEREST INCOME-2018         
ER77322    RP INCOME FROM TRUSTS/ROYALTIES-2018    
ER77324    SP LABOR INCOME FROM BUSINESS-2018      
ER77325    SP ASSET INCOME FROM BUSINESS-2018      
ER77326    NUMBER OF BUSINESSES OWNED BY SPOUSE    
ER77327    WAGES AND SALARIES OF SPOUSE-2018       
ER77329    BONUS INCOME OF SPOUSE-2018             
ER77333    TIPS OF SPOUSE-2018                     
ER77335    COMMISSION INCOME OF SPOUSE-2018        
ER77337    PROFESSIONAL PRACTICE OF SPOUSE-2018    
ER77339    SPOUSE ADDITIONAL JOB INCOME-2018       
ER77341    MISC LABOR INCOME OF SPOUSE-2018        
ER77343    LABOR INCOME OF SPOUSE-2018             
ER77344    SPOUSE RENT INCOME-2018                 
ER77346    SPOUSE DIVIDENDS-2018                   
ER77348    SPOUSE INTEREST INCOME-2018             
ER77350    SPOUSE INCOME FROM TRUSTS/ROYALTIES-2018
ER77352    REF PERSN AND SPOUSE TAXABLE INCOME-2018
ER77353    REF PERSON INCOME FROM TANF, ETC.-2018  
ER77355    REF PERSON SSI-2018                     
